Date,UK EQUITY,EUR EQUITY,NA EQUITY,ASIA EQUITY,JPN EQUITY,EM EQUITY,WORLD EQUITY EX UK,ABSOLUTE RETURN,PROPERTY,GILTS,GBP CREDIT,LIBOR,LIBOR PLUS 3,GLOBAL AGG,GLOBAL IG,EM DEBT,GLOBAL HY,GBP NON-GILTS BBB 1-5YRS
28/02/2007,-0.001687755,-0.004590905,-0.020843355,0.007668401,0.039136501,-0.006248543,-0.0064574,0.018434178,0.007101814,0.016846652,0.015995563,0.004608333,0.007108333,0.021240479,0.022148228,0.017356437,0.014722009,0.010021211
31/03/2007,0.032882512,0.032608678,0.009840335,0.025827279,-0.019411253,0.033103457,0.010996595,0.002559196,0.008568197,-0.008723181,-0.007274273,0.004680733,0.007180733,-0.001339063,-0.005092058,0.006069289,0.003153002,0.001230182
30/04/2007,0.024199512,0.047880672,0.022010699,0.03056966,-0.039293667,0.026705588,0.024832806,0.015883492,0.007028062,-0.001797224,0.000586676,0.004771875,0.007271875,-0.005363814,-0.003138959,-0.007730962,0.016046714,0.003681491
31/05/2007,0.027812955,0.019121105,0.046189166,0.050528008,0.022919261,0.056210394,0.036816055,0.009314691,0.007069131,-0.010867384,-0.006887756,0.004842192,0.007342192,-0.005597503,-0.003465251,0.007180728,0.00518503,-0.001315263
30/06/2007,-0.007599797,-0.017809348,-0.030881171,0.025379354,-0.014904535,0.029355778,-0.025360229,-0.004396138,0.006711522,-0.011816604,-0.011167621,0.005003125,0.007503125,-0.018966406,-0.017164068,-0.033063385,-0.015422517,0.000957235
31/07/2007,-0.033822354,-0.031061776,-0.043121727,0.027886403,-0.020494979,0.034528168,-0.037081474,-0.00546208,0.001729909,0.022735678,0.004559612,0.005035942,0.007535942,0.006640432,-0.00325525,-0.023388901,-0.030126099,0.004571992
31/08/2007,-0.002708626,-0.005816934,0.020384323,-0.009877173,-0.021417907,-0.013827836,0.008492634,0.009180077,-4.25063E-05,0.017781912,0.00498516,0.005577083,0.008077083,0.02220123,0.015061504,0.021680782,0.008100532,0.006694558
30/09/2007,0.018749903,0.045381943,0.028844293,0.107569422,0.003118773,0.091215908,0.034650863,0.021651378,-0.011871515,0.004943609,0.003787552,0.005253125,0.007753125,0.010627862,0.007829585,0.01066663,0.029808449,0.005726312
31/10/2007,0.042548017,0.023685858,0.001216915,0.073472287,-0.019952031,0.085671149,0.007386916,0.016210133,-0.014840077,0.009158849,0.011000774,0.005232817,0.007732817,-0.00237435,-0.000396351,0.004857481,0.009101915,0.003602104
30/11/2007,-0.048636799,-0.010984365,-0.037988271,-0.077587599,-0.007694029,-0.063934033,-0.031422825,-0.003810995,-0.036254423,0.023180206,-0.001537295,0.005505208,0.008005208,0.031730006,0.015146647,0.006355684,-0.020736911,0.000635609
